,城市,2013平均房价
0,合肥市,7400元/㎡
1,厦门市,23124元/㎡
2,福州市,13841元/㎡
3,泉州市,8724元/㎡
4,兰州市,8716元/㎡
5,深圳市,24910元/㎡
6,广州市,19208元/㎡
7,珠海市,11365元/㎡
8,东莞市,7611元/㎡
9,佛山市,6279元/㎡
10,惠州市,5480元/㎡
11,中山市,5241元/㎡
12,南宁市,7052元/㎡
13,桂林市,6192元/㎡
14,贵阳市,5357元/㎡
15,石家庄市,8639元/㎡
16,秦皇岛市,7947元/㎡
17,唐山市,7641元/㎡
18,廊坊市,7267元/㎡
19,邯郸市,6000元/㎡
20,保定市,4934元/㎡
21,哈尔滨市,7503元/㎡
22,郑州市,8229元/㎡
23,洛阳市,5324元/㎡
24,武汉市,8825元/㎡
25,宜昌市,6751元/㎡
26,长沙市,6519元/㎡
27,南京市,17313元/㎡
28,苏州市,10941元/㎡
29,南通市,8218元/㎡
30,扬州市,8150元/㎡
31,泰州市,7838元/㎡
32,昆山市,7467元/㎡
33,无锡市,7312元/㎡
34,徐州市,6745元/㎡
35,镇江市,6663元/㎡
36,常州市,6222元/㎡
37,南昌市,9208元/㎡
38,长春市,7229元/㎡
39,吉林市,5552元/㎡
40,大连市,10972元/㎡
41,沈阳市,8270元/㎡
42,呼和浩特市,6714元/㎡
43,银川市,5767元/㎡
44,太原市,8194元/㎡
45,青岛市,12822元/㎡
46,济南市,9158元/㎡
47,烟台市,8394元/㎡
48,威海市,6096元/㎡
49,潍坊市,5072元/㎡
50,成都市,8597元/㎡
51,绵阳市,5016元/㎡
52,昆明市,8664元/㎡
53,杭州市,19131元/㎡
54,宁波市,15461元/㎡
55,绍兴市,7917元/㎡
56,嘉兴市,3838元/㎡
57,北京市,40342元/㎡
58,上海市,29978元/㎡
59,天津市,14519元/㎡
60,重庆市,6896元/㎡
