城市,2017平均房价
合肥市,14362元/㎡
芜湖市,9175元/㎡
阜阳市,9012元/㎡
黄山市,8790元/㎡
巢湖市,8505元/㎡
宣城市,8156元/㎡
六安市,7870元/㎡
池州市,7552元/㎡
铜陵市,7305元/㎡
安庆市,6979元/㎡
滁州市,6508元/㎡
蚌埠市,6466元/㎡
淮北市,5942元/㎡
马鞍山市,5939元/㎡
宿州市,5629元/㎡
亳州市,5507元/㎡
淮南市,5407元/㎡
厦门市,47177元/㎡
福州市,26771元/㎡
漳州市,13670元/㎡
莆田市,13656元/㎡
泉州市,10651元/㎡
龙岩市,10566元/㎡
宁德市,9491元/㎡
南平市,7872元/㎡
三明市,7472元/㎡
兰州市,9989元/㎡
平凉市,6748元/㎡
庆阳市,5991元/㎡
定西市,5218元/㎡
酒泉市,5175元/㎡
深圳市,51477元/㎡
广州市,28578元/㎡
珠海市,19531元/㎡
东莞市,13913元/㎡
中山市,11266元/㎡
顺德市,10909元/㎡
佛山市,10229元/㎡
惠州市,10227元/㎡
汕头市,8339元/㎡
梅州市,7919元/㎡
汕尾市,7554元/㎡
茂名市,7295元/㎡
肇庆市,6964元/㎡
湛江市,6940元/㎡
清远市,6690元/㎡
江门市,6689元/㎡
台山市,6444元/㎡
河源市,6429元/㎡
潮州市,6366元/㎡
揭阳市,6096元/㎡
阳江市,5410元/㎡
韶关市,5218元/㎡
南宁市,9515元/㎡
柳州市,7667元/㎡
桂林市,6182元/㎡
北海市,5662元/㎡
贵港市,5049元/㎡
玉林市,4878元/㎡
防城港市,4427元/㎡
梧州市,4136元/㎡
钦州市,3559元/㎡
贵阳市,7484元/㎡
遵义市,5555元/㎡
西宁市,6531元/㎡
石家庄市,16979元/㎡
廊坊市,15564元/㎡
保定市,12983元/㎡
张家口市,10456元/㎡
沧州市,10144元/㎡
承德市,9258元/㎡
邯郸市,8403元/㎡
秦皇岛市,8006元/㎡
衡水市,7969元/㎡
邢台市,7706元/㎡
唐山市,7343元/㎡
定州市,6667元/㎡
哈尔滨市,8348元/㎡
齐齐哈尔市,5185元/㎡
大庆市,5183元/㎡
牡丹江市,4817元/㎡
佳木斯市,4097元/㎡
绥化市,3567元/㎡
鸡西市,3364元/㎡
郑州市,12859元/㎡
驻马店市,6646元/㎡
洛阳市,6548元/㎡
许昌市,6459元/㎡
信阳市,6304元/㎡
濮阳市,6195元/㎡
开封市,6142元/㎡
新乡市,6052元/㎡
鹤壁市,5618元/㎡
济源市,5324元/㎡
南阳市,5277元/㎡
平顶山市,5197元/㎡
商丘市,5033元/㎡
安阳市,5012元/㎡
焦作市,4921元/㎡
三门峡市,4824元/㎡
周口市,4435元/㎡
漯河市,4373元/㎡
武汉市,16259元/㎡
襄阳市,8395元/㎡
宜昌市,7532元/㎡
荆州市,6362元/㎡
黄石市,6209元/㎡
十堰市,5391元/㎡
恩施市,5357元/㎡
孝感市,5194元/㎡
随州市,4995元/㎡
潜江市,4863元/㎡
黄冈市,4676元/㎡
鄂州市,4584元/㎡
荆门市,4434元/㎡
咸宁市,3295元/㎡
长沙市,9873元/㎡
岳阳市,6909元/㎡
张家界市,6626元/㎡
常德市,6207元/㎡
益阳市,5542元/㎡
株洲市,5475元/㎡
怀化市,4962元/㎡
湘潭市,4899元/㎡
永州市,4811元/㎡
郴州市,4809元/㎡
衡阳市,4744元/㎡
娄底市,4743元/㎡
邵阳市,4530元/㎡
湘西市,3976元/㎡
南京市,25733元/㎡
苏州市,15320元/㎡
常州市,12069元/㎡
昆山市,11562元/㎡
扬州市,10861元/㎡
南通市,10717元/㎡
无锡市,9592元/㎡
泰州市,9110元/㎡
镇江市,9049元/㎡
徐州市,8786元/㎡
盐城市,8440元/㎡
连云港市,8438元/㎡
淮安市,7988元/㎡
宿迁市,7120元/㎡
沭阳市,7082元/㎡
南昌市,11396元/㎡
赣州市,7824元/㎡
上饶市,7777元/㎡
抚州市,7355元/㎡
吉安市,6956元/㎡
九江市,6572元/㎡
景德镇市,5858元/㎡
宜春市,5742元/㎡
萍乡市,4088元/㎡
长春市,7482元/㎡
吉林市,5800元/㎡
白城市,4975元/㎡
延边市,4876元/㎡
四平市,4723元/㎡
通化市,4497元/㎡
松原市,4430元/㎡
辽源市,4037元/㎡
白山市,3440元/㎡
大连市,10495元/㎡
沈阳市,7999元/㎡
丹东市,5692元/㎡
葫芦岛市,5451元/㎡
锦州市,5141元/㎡
抚顺市,4801元/㎡
朝阳市,4746元/㎡
营口市,4597元/㎡
辽阳市,4486元/㎡
鞍山市,4408元/㎡
铁岭市,4036元/㎡
盘锦市,3866元/㎡
阜新市,3784元/㎡
呼和浩特市,7957元/㎡
赤峰市,7381元/㎡
包头市,6579元/㎡
通辽市,5854元/㎡
鄂尔多斯市,5596元/㎡
巴彦淖尔市市,5317元/㎡
兴安盟市,4482元/㎡
乌海市,4422元/㎡
呼伦贝尔市,3763元/㎡
银川市,4946元/㎡
中卫市,4444元/㎡
石嘴山市,2978元/㎡
太原市,9695元/㎡
晋城市,6397元/㎡
长治市,6372元/㎡
晋中市,5654元/㎡
临汾市,5150元/㎡
忻州市,4965元/㎡
大同市,4135元/㎡
运城市,4093元/㎡
朔州市,3543元/㎡
青岛市,18142元/㎡
济南市,15842元/㎡
章丘市,11891元/㎡
烟台市,8801元/㎡
泰安市,8339元/㎡
威海市,8232元/㎡
聊城市,7741元/㎡
滨州市,7278元/㎡
淄博市,7029元/㎡
德州市,6905元/㎡
日照市,6819元/㎡
济宁市,6671元/㎡
东营市,6251元/㎡
菏泽市,6150元/㎡
潍坊市,5997元/㎡
莱芜市,5778元/㎡
临沂市,5240元/㎡
枣庄市,4979元/㎡
成都市,12034元/㎡
凉山市,8073元/㎡
绵阳市,6904元/㎡
遂宁市,6829元/㎡
宜宾市,6634元/㎡
资阳市,6238元/㎡
广元市,6183元/㎡
达州市,6159元/㎡
泸州市,5990元/㎡
南充市,5891元/㎡
自贡市,5680元/㎡
内江市,5342元/㎡
广安市,5332元/㎡
德阳市,4975元/㎡
乐山市,4913元/㎡
巴中市,4350元/㎡
眉山市,4335元/㎡
攀枝花市,4005元/㎡
乌鲁木齐市,7250元/㎡
石河子市,5602元/㎡
昌吉市,5091元/㎡
克拉玛依市,4681元/㎡
喀什市,3886元/㎡
阿克苏市,3711元/㎡
哈密市,3704元/㎡
拉萨市,9173元/㎡
昆明市,9771元/㎡
大理市,9327元/㎡
西双版纳市,8430元/㎡
玉溪市,6645元/㎡
保山市,6437元/㎡
丽江市,5581元/㎡
文山市,5037元/㎡
昭通市,4763元/㎡
普洱市,4724元/㎡
楚雄市,4536元/㎡
红河市,4044元/㎡
曲靖市,3991元/㎡
杭州市,28540元/㎡
义乌市,18386元/㎡
温州市,17992元/㎡
宁波市,17037元/㎡
金华市,14504元/㎡
舟山市,13359元/㎡
台州市,12149元/㎡
绍兴市,11902元/㎡
衢州市,11257元/㎡
湖州市,10981元/㎡
嘉兴市,10481元/㎡
丽水市,9734元/㎡
北京市,57768元/㎡
上海市,50017元/㎡
天津市,22205元/㎡
重庆市,9925元/㎡
