,Unnamed: 0,城市,2019平均房价
0,0,合肥市,14368元/㎡
1,1,芜湖市,9964元/㎡
2,2,巢湖市,9816元/㎡
3,3,黄山市,8912元/㎡
4,4,安庆市,8671元/㎡
5,5,池州市,8649元/㎡
6,6,阜阳市,8168元/㎡
7,7,宣城市,8106元/㎡
8,8,铜陵市,7910元/㎡
9,9,六安市,7532元/㎡
10,10,蚌埠市,6647元/㎡
11,11,马鞍山市,6548元/㎡
12,12,滁州市,6486元/㎡
13,13,宿州市,6372元/㎡
14,14,淮北市,6336元/㎡
15,15,亳州市,6041元/㎡
16,16,桐城市,5834元/㎡
17,17,霍邱市,5758元/㎡
18,18,淮南市,5680元/㎡
19,19,和县市,3896元/㎡
20,20,和县市,3896元/㎡
21,21,淮南市,5680元/㎡
22,22,霍邱市,5758元/㎡
23,23,桐城市,5834元/㎡
24,24,亳州市,6041元/㎡
25,25,淮北市,6336元/㎡
26,26,宿州市,6372元/㎡
27,27,滁州市,6486元/㎡
28,28,马鞍山市,6548元/㎡
29,29,蚌埠市,6647元/㎡
30,30,六安市,7532元/㎡
31,31,铜陵市,7910元/㎡
32,32,宣城市,8106元/㎡
33,33,阜阳市,8168元/㎡
34,34,池州市,8649元/㎡
35,35,安庆市,8671元/㎡
36,36,黄山市,8912元/㎡
37,37,巢湖市,9816元/㎡
38,38,芜湖市,9964元/㎡
39,39,合肥市,14368元/㎡
40,40,厦门市,45356元/㎡
41,41,福州市,25232元/㎡
42,42,莆田市,12551元/㎡
43,43,漳州市,12348元/㎡
44,44,泉州市,11265元/㎡
45,45,龙岩市,10630元/㎡
46,46,武夷山市,10070元/㎡
47,47,三明市,9094元/㎡
48,48,宁德市,9025元/㎡
49,49,南平市,8054元/㎡
50,50,南平市,8054元/㎡
51,51,宁德市,9025元/㎡
52,52,三明市,9094元/㎡
53,53,武夷山市,10070元/㎡
54,54,龙岩市,10630元/㎡
55,55,泉州市,11265元/㎡
56,56,漳州市,12348元/㎡
57,57,莆田市,12551元/㎡
58,58,福州市,25232元/㎡
