,城市,2010平均房价,2011平均房价,2012平均房价,2013平均房价,2014平均房价,2015平均房价,2016平均房价,2017平均房价,2018平均房价,2019平均房价
0,深圳市,16645元/㎡,17428元/㎡,19298元/㎡,24910元/㎡,28117元/㎡,41494元/㎡,43289元/㎡,51477元/㎡,53205元/㎡,53798元/㎡
4,广州市,12944元/㎡,14762元/㎡,16555元/㎡,19208元/㎡,18564元/㎡,20016元/㎡,22926元/㎡,28578元/㎡,32088元/㎡,32058元/㎡
8,佛山市,5949元/㎡,6176元/㎡,6003元/㎡,6279元/㎡,6075元/㎡,6082元/㎡,7161元/㎡,10229元/㎡,10908元/㎡,12134元/㎡
10,石家庄市,6458元/㎡,7307元/㎡,7723元/㎡,8639元/㎡,8800元/㎡,8986元/㎡,14878元/㎡,16979元/㎡,15596元/㎡,15802元/㎡
12,郑州市,5743元/㎡,6566元/㎡,6937元/㎡,8229元/㎡,8503元/㎡,8790元/㎡,12091元/㎡,12859元/㎡,13582元/㎡,13791元/㎡
14,武汉市,6905元/㎡,7854元/㎡,7998元/㎡,8825元/㎡,9239元/㎡,10000元/㎡,13875元/㎡,16259元/㎡,17586元/㎡,17302元/㎡
16,长沙市,6172元/㎡,6781元/㎡,6539元/㎡,6519元/㎡,6401元/㎡,6448元/㎡,7601元/㎡,9873元/㎡,10627元/㎡,10383元/㎡
18,南京市,14107元/㎡,14442元/㎡,14750元/㎡,17313元/㎡,18099元/㎡,18697元/㎡,24867元/㎡,25733元/㎡,27568元/㎡,29162元/㎡
22,苏州市,8943元/㎡,10000元/㎡,10089元/㎡,10941元/㎡,10980元/㎡,12251元/㎡,16181元/㎡,15320元/㎡,16943元/㎡,18899元/㎡
26,无锡市,7589元/㎡,7477元/㎡,7336元/㎡,7312元/㎡,6979元/㎡,6771元/㎡,8300元/㎡,9592元/㎡,11030元/㎡,12146元/㎡
28,大连市,10934元/㎡,11115元/㎡,10540元/㎡,10972元/㎡,10182元/㎡,9816元/㎡,9854元/㎡,10495元/㎡,11893元/㎡,13200元/㎡
30,北京市,24733元/㎡,25166元/㎡,30158元/㎡,40342元/㎡,37294元/㎡,39437元/㎡,57597元/㎡,57768元/㎡,59868元/㎡,59867元/㎡
31,上海市,22491元/㎡,22665元/㎡,18713元/㎡,29978元/㎡,30522元/㎡,35237元/㎡,52142元/㎡,50017元/㎡,49446元/㎡,49800元/㎡
32,天津市,12396元/㎡,12732元/㎡,18713元/㎡,14519元/㎡,14961元/㎡,15553元/㎡,23220元/㎡,22205元/㎡,22188元/㎡,22383元/㎡
33,重庆市,6016元/㎡,6583元/㎡,18713元/㎡,6896元/㎡,6718元/㎡,6289元/㎡,7493元/㎡,9925元/㎡,12080元/㎡,11884元/㎡
