城市,2010GDP,2011GDP,2012GDP,2013GDP,2014GDP,2015GDP,2016GDP,2017GDP,总
北京市,121530000,141135800,162519300,178794000,195005600,213308300,230145900,256691300,1499130200
天津市,75218500,92244600,113072800,128938800,143701600,157269300,165381900,178853900,1054681400
  石家庄市,3001297,34010186,40826833,45002098,48636583,51702653,54405988,59277293,336862931
  唐山市,38127192,44691588,54424541,58616363,61212139,62253023,61030601,63548675,443904122
  秦皇岛市,8045421,9304969,10700808,11393664,11687549,12000219,12504439,13493526,89130595
  邯郸市,20152800,23615569,27890278,30242864,30615043,30800054,31454319,33370903,228141830
  邢台市,10562913,12120943,14289231,15320620,16045756,16469408,17647323,19757460,122213654
  保定市,17300023,20503000,24499000,27209000,29043115,30352036,30003400,34771269,213680843
  张家口市,8003407,9664158,11186100,12335529,13169971,13489726,13635443,14659911,96144245
  承德市,7601136,8889619,11042013,11819213,12720917,13425500,13587278,14385741,93471417
  沧州市,18012287,22031199,25851998,28124212,30129850,31333822,33206328,35446800,224136496
  廊坊市,11474791,13510982,16114156,17943291,19431340,21759631,24738649,27063015,152035855
  衡水市,6521058,7818229,9290736,10110263,10702335,11491345,12200080,14201825,82335871
  太原市,15452409,17780539,20801243,23114326,24128724,25310917,27353442,29556045,183497645
  大同市,5962587,6959095,8435722,9313878,9674311,10017256,10533703,10257962,71154514
  阳泉市,3487100,4293774,5281145,6019519,6118094,6166154,5957009,6228625,43551420
  长治市,7752901,9202336,12186017,13286098,13337207,13311415,11953423,12704767,93734164
  晋城市,6060499,7305428,8949773,10128134,10319143,10358203,10402416,10493400,74016996
  朔州市,5613074,6701476,8552006,10071198,10264012,10034100,9011301,9180640,69427807
  晋中市,6368106,7638366,8902376,9865596,10222281,10413000,10461155,10911041,74781921
  运城市,7230077,8274316,10168221,10686498,11401151,12017177,11740143,12223486,83741069
  忻州市,3493072,4374561,5545452,6209439,6547321,6803394,6812356,7161357,46946952
  临汾市,7668659,8901440,11360573,12210801,12239045,12132401,11611090,12051761,88175770
  吕梁市,6115606,8455392,11307118,12304159,12286015,11013462,9558013,9953079,80992844
  呼和浩特市,16439925,18657116,21772669,24755700,27103900,28940500,30905200,31735900,200310910
