城市,2015流动人口,gdp,房地产投资额,高校学生数,2015平均房价
北京市,799.7896595,213308300.0,39113411,594614,39437.0
天津市,477.8149243,157269300.0,16996496,505795,15553.0
石家庄市,30.90259342,51702653.0,10180594,393559,8986.0
唐山市,20.61010566,62253023.0,6092982,110646,6120.0
秦皇岛市,10.3890026,12000219.0,2687979,155020,5814.0
邯郸市,-94.55011687,30800054.0,3770938,58793,6256.0
邢台市,-49.22445733,16469408.0,1518321,46696,5600.0
保定市,-51.28337044,30352036.0,4563094,161180,7117.0
张家口市,-26.89318926,13489726.0,1764333,46448,6372.0
承德市,-28.58344524,13425500.0,1390767,40567,6061.0
沧州市,-34.17415878,31333822.0,2019066,80535,5766.0
衡水市,-10.99885482,11491345.0,1313932,25157,4873.0
太原市,59.13142165,25310917.0,4832293,400915,8118.0
大同市,-0.8592022159999999,10017256.0,2373245,29962,3476.0
长治市,0.41156750700000005,13311415.0,752331,41161,5719.0
晋城市,11.5742229,10358203.0,581820,6376,6126.0
晋中市,0.765508685,10413000.0,1129026,139785,5075.0
运城市,-1.347471665,12017177.0,1177222,42914,3817.0
忻州市,-0.36043310700000003,6803394.0,617376,18930,5010.0
临汾市,11.26566753,12132401.0,842011,44305,5119.0
呼和浩特市,63.686060999999995,28940500.0,5631305,232481,5462.0
包头市,54.56915424,36363100.0,1978681,70342,5714.0
赤峰市,-35.29536421,17783716.0,1285905,19710,5765.0
鄂尔多斯市,46.62037352,40554873.0,834954,5725,4385.0
沈阳市,96.40065023,70987051.0,19758182,399694,7242.0
大连市,102.04762,76555761.0,14293353,286224,9816.0
鞍山市,8.649401735,23858951.0,2529523,36235,4638.0
辽阳市,5.248959854,10146163.0,1148637,17281,4680.0
盘锦市,14.70041384,13039536.0,2837162,7056,3871.0
铁岭市,-35.64937657,8672909.0,1311961,16626,3949.0
葫芦岛市,-23.19652047,7215505.0,1354893,8700,5678.0
长春市,-0.9886530020000001,53424262.0,5343977,414582,6770.0
吉林市,0.679149564,23795605.0,1424628,103565,4684.0
辽源市,0.450039846,6903093.0,199859,6086,3944.0
通化市,0.043333774000000005,10084958.0,854434,12418,3272.0
松原市,2.201484139,15962932.0,802765,2950,4184.0
白城市,0.59851385,6861811.0,249480,19651,3976.0
哈尔滨市,3.9517634389999996,53400715.0,6735677,506425,9131.0
齐齐哈尔市,-29.655257799999998,12093360.0,1299771,54815,5263.0
鸡西市,1.475427711,5160088.0,272849,8812,3202.0
大庆市,2.29384103,40775057.0,1573794,62407,5073.0
牡丹江市,31.38624042,12640168.0,1575240,48091,4116.0
绥化市,1.2534401640000001,11902452.0,745894,10105,3605.0
上海市,981.7272363,235677000.0,32064773,506644,35237.0
南京市,171.49154769999998,88207500.0,11254900,805338,18697.0
无锡市,172.1107699,82053100.0,12522200,114240,6771.0
徐州市,-162.5321741,49639100.0,4688800,137239,6624.0
常州市,100.8243605,49018700.0,6815300,108557,6560.0
苏州市,398.0410429,137608900.0,17644400,209479,12251.0
南通市,-37.8157326,56526900.0,6789200,80895,8308.0
连云港市,-82.50198749,19658900.0,1892800,38119,5964.0
淮安市,-76.34580574,24553900.0,3576600,67289,5580.0
盐城市,-106.36500990000002,38356200.0,3796400,56080,6514.0
扬州市,-13.90362475,36979100.0,3604400,80955,8406.0
镇江市,44.74136695,32524400.0,3190500,84214,7304.0
泰州市,-44.86701235,33708900.0,2855400,49305,4651.0
宿迁市,-97.58311688,19306800.0,3771400,17616,4905.0
杭州市,171.0025488,92061633.0,23010823,474700,16080.0
嘉兴市,108.2974652,33526045.0,5257184,65722,6724.0
湖州市,28.50218031,19559985.0,3427487,26988,8243.0
金华市,68.1475955,32082030.0,3676682,86725,9914.0
衢州市,-0.76225423,11150977.0,951665,13664,7571.0
合肥市,52.54739766,51805600.0,11273561,497305,8461.0
芜湖市,-23.85276941,23095488.0,4790128,126455,5896.0
蚌埠市,-47.20294862,11511949.0,4069641,61033,5307.0
淮南市,-6.800767362999999,7893187.0,1105001,79193,4283.0
马鞍山市,-5.349806127,13331200.0,2455835,54157,4985.0
淮北市,-0.251590986,7596370.0,1524034,34736,5073.0
铜陵市,-0.10024796,7163100.0,1327634,33971,5381.0
安庆市,-84.82772841,15443170.0,1469427,41794,5484.0
黄山市,-11.75143945,5071697.0,1367274,20952,5627.0
阜阳市,-274.45018619999996,11889663.0,2156656,34840,6309.0
宿州市,-96.4618569,11405288.0,1823318,19887,5166.0
六安市,-150.092421,10958100.0,1822747,41229,5150.0
亳州市,-137.1126456,8836299.0,2090596,11932,4577.0
池州市,-17.99956434,5171690.0,1041175,21024,5609.0
福州市,63.60485035,51691647.0,14550729,320844,14577.0
厦门市,173.60124380000002,32735772.0,7040636,158346,25970.0
莆田市,-57.20073738,15020721.0,3468656,20644,10000.0
三明市,-33.00040254,16212064.0,1767649,24318,7483.0
泉州市,123.80316459999999,57333576.0,7759511,122159,7845.0
漳州市,-2.902377429,25063612.0,4722441,69525,8508.0
龙岩市,-48.59966516,16212107.0,2120886,17146,8382.0
景德镇市,-5.3338483210000005,7382137.0,369684,26164,3710.0
萍乡市,-9.62163211,8649524.0,371730,11252,3744.0
九江市,-33.28764321,17799599.0,1291834,83172,5140.0
赣州市,-104.93148149999999,18435921.0,2303368,87434,5621.0
吉安市,-39.33011065,12421109.0,661003,19037,4934.0
抚州市,-30.55857805,10367713.0,988831,28728,5491.0
济南市,81.68530688,57705966.0,9173706,700394,9281.0
淄博市,32.38167049,40297668.0,2361984,95870,5594.0
枣庄市,-19.69841973,19801306.0,2157016,25492,4510.0
东营市,20.099180399999998,34304900.0,1984505,27213,6184.0
烟台市,46.18375197,60020788.0,6117950,173193,7495.0
潍坊市,35.17470382,47860000.0,4500121,140591,4660.0
济宁市,-37.80741999,38000607.0,3561244,95491,5507.0
泰安市,-4.82219932,30021852.0,1430883,105210,6759.0
威海市,25.9409047,27903400.0,3572274,64338,5626.0
日照市,-7.848783474,16118700.0,919291,25632,6109.0
莱芜市,6.099361271,6876000.0,292489,7557,5010.0
临沂市,-94.18881023,35698000.0,3709192,65209,4400.0
德州市,-14.395635500000001,25960800.0,2097871,43116,5286.0
聊城市,-19.75500683,25164000.0,1699704,41991,5391.0
滨州市,-4.426547677,22767060.0,1120744,49447,4644.0
菏泽市,-150.32547830000001,22221900.0,2303267,36520,4744.0
郑州市,-9.330873668999999,67769890.0,17435127,783240,8790.0
开封市,-94.05500709,14920564.0,1359778,120078,4542.0
洛阳市,-31.53532995,32845734.0,3026067,124241,4851.0
平顶山市,-61.19774641,16371717.0,1558193,56458,4917.0
安阳市,-102.5064186,17918143.0,1756600,67227,3894.0
鹤壁市,-6.571562867000001,6821975.0,641346,11370,4797.0
新乡市,-61.34441675,19179974.0,2674900,143053,4391.0
焦作市,-17.77269796,18443139.0,1172471,93824,4329.0
濮阳市,-65.24921909,12536056.0,847731,8110,5508.0
许昌市,-69.18557075,20872312.0,1377766,34647,5091.0
漯河市,-10.05030405,9411601.0,388479,25646,3418.0
南阳市,-177.4711043,26755709.0,1566045,70399,4468.0
商丘市,-222.94072090000003,16976370.0,2113705,77593,3975.0
