城市,2017高校学生,2016高校学生,2015高校学生,2014高校学生,2013高校学生,2012高校学生,2011高校学生,2010高校学生,总数
北京市,599188,593448,594614,589234,581844,578633,577828,577154,4691943
天津市,513842,512854,505795,489919,473114,449702,429224,405968,3780418
  石家庄市,441812,419787,393559,399055,395542,388241,372921,366531,3177448
  唐山市,115879,111421,110646,111758,125531,105870,97638,91138,869881
  秦皇岛市,154101,155192,155020,169925,155553,89818,87946,88235,1055790
  邯郸市,57383,58496,58793,84180,61728,62027,60899,59246,502752
  邢台市,48874,47351,46696,47756,49455,48378,47109,45824,381443
  保定市,215527,174568,161180,259287,142124,166282,162640,161624,1443232
  张家口市,17565,67806,46448,15741,45501,45082,45043,44832,328018
  承德市,43063,41144,40567,41711,41258,40276,37774,35532,321325
  沧州市,78262,55485,80535,53811,51292,49020,46363,42976,457744
  衡水市,15596,27336,25157,15313,16153,17805,17584,16850,151794
  太原市,432234,421429,400915,378728,358202,341915,329712,323321,2986456
  大同市,28142,28752,29962,30001,37084,34707,34186,37449,260283
  阳泉市,14297,13726,13787,12356,11999,10718,10355,7140,94378
  长治市,38129,39659,41161,32376,30533,30668,37218,30357,280101
  晋城市,6325,6283,6376,6168,5907,4920,7964,8125,52068
  晋中市,176197,162846,139785,119071,68327,61778,57646,54130,839780
  运城市,55222,52265,42914,46390,20682,18231,18231,18376,272311
  忻州市,26944,20251,18930,18925,20691,18250,18360,9500,151851
  临汾市,47585,44675,44305,43263,41359,39579,38337,36324,335427
  吕梁市,23000,22900,21684,19749,16050,16321,16321,14271,150296
  呼和浩特市,237734,235188,232481,229258,227190,222278,215275,203891,1803295
  包头市,80246,72320,70342,70100,68641,67514,84502,83349,597014
  乌海市,4806,3536,2821,3054,3539,3590,3975,3682,29003
  赤峰市,21732,20400,19710,18756,17850,17235,15057,13893,144633
  鄂尔多斯市,7982,5894,5725,4271,3848,3859,2591,2113,36283
  呼伦贝尔市,19144,21539,15819,15138,13368,17122,12043,14062,128235
  巴彦淖尔市,10606,9843,8581,8041,7572,7181,7433,7176,66433
  乌兰察布市,21054,20650,20740,20573,15800,15393,19000,19200,152410
  沈阳市,403589,404032,399694,383543,369285,374171,348583,341863,3024760
  大连市,290217,290025,286224,276275,263692,255171,245756,236784,2144144
  鞍山市,34113,35372,36235,37541,37593,37467,36219,35869,290409
  抚顺市,44021,46035,44369,44246,44344,43489,42524,37508,346536
  本溪市,28904,17974,21411,14861,15603,17586,15471,15161,146971
  丹东市,27617,28487,29636,29386,28453,29802,24193,27607,225181
  锦州市,82851,85209,86219,85265,83673,80686,80694,79886,664483
  营口市,21155,21303,22248,22039,21368,16619,16674,12967,154373
  阜新市,38192,41661,45017,45688,43005,45379,41355,36211,336508
  辽阳市,17180,26616,17281,17010,19095,19672,19880,18918,155652
  盘锦市,6865,7093,7056,6264,5687,4971,5392,6232,49560
  铁岭市,18809,18011,16626,17894,17329,15047,16491,8776,128983
  朝阳市,5393,5192,5470,4952,4766,4025,3523,4201,37522
  葫芦岛市,19483,8696,8700,8402,8045,7492,6775,7138,74731
  长春市,434366,426081,414582,401823,387662,376533,365734,359423,3166204
  吉林市,104018,104873,103565,101143,96286,93565,89740,88065,781255
  四平市,39028,38353,37323,35920,35106,34193,53441,31093,304457
  辽源市,5780,5794,6086,6139,5567,5412,9021,7874,51673
  通化市,12858,12598,12418,12086,11863,11319,10783,10637,94562
  白山市,1713,1516,1150,934,1200,1587,3621,3574,15295
  松原市,2772,2890,2950,3291,3483,3463,2977,3033,24859
  白城市,20130,19800,19651,19213,19051,18617,17466,6561,140489
  哈尔滨市,636240,663749,506425,492382,482211,481511,481589,468903,4213010
  齐齐哈尔市,55042,63745,54815,51255,50372,50035,49867,50304,425435
  鸡西市,8725,8260,8812,9141,9841,10689,10578,10335,76381
  鹤岗市,2234,2218,1854,5781,6639,5604,2625,2977,29932
  双鸭山市,22231,21584,3490,2074,4093,3898,2258,2164,61792
  大庆市,60889,64552,62407,70010,65281,64184,64158,64851,516332
  伊春市,1611,1030,1060,1070,1104,2242,2047,2482,12646
  佳木斯市,31822,33834,44716,44935,43905,31593,30706,32472,293983
  七台河市,3149,2886,2337,1685,1339,1463,1789,2424,17072
  牡丹江市,41298,51797,48091,50074,51321,53748,54104,53492,403925
上海市,514683,511623,506644,504771,506596,511283,515661,512809,4084070
  南京市,827773,812619,805338,807450,651948,808498,793405,773394,6280425
  无锡市,113732,115341,114240,111391,109363,108347,109629,112715,894758
  徐州市,140825,137631,137239,136313,115815,131747,120103,125676,1045349
  常州市,123815,102994,108557,106303,88233,104648,104255,125468,864273
  苏州市,219271,214147,209479,201926,192206,178541,177743,187678,1580991
  南通市,94840,83218,80895,76272,75402,74529,82647,89390,657193
  连云港市,38647,38717,38119,37591,33876,33862,34538,29192,284542
  淮安市,69653,68011,67289,66876,67113,67436,68805,79465,554648
  盐城市,69637,57287,56080,54891,54634,55299,56715,55668,460211
  扬州市,80450,81550,80955,81717,83844,77780,77541,76028,639865
  镇江市,87481,85340,84214,83052,82345,88013,86513,86637,683595
  泰州市,59201,56212,49305,49089,48509,47542,47013,43819,400690
  宿迁市,19852,18242,17616,17531,17128,17577,15973,20153,144072
