,城市,常住人口,户籍人口,2010流动人口,2010流动人口占比
0,北京市,1725.004258,1245.83,479.1742582,27.78%
1,天津市,1202.072746,979.84,222.2327459,18.49%
2,  石家庄市,1016.3788,977.41,38.9688,3.83%
3,  唐山市,744.9772758,733.9,11.07727584,1.49%
4,  秦皇岛市,296.7694947,287.24,9.529494651,3.21%
5,  邯郸市,884.7096009,942.77,-58.06039905,-6.56%
6,  邢台市,696.1192171,718.63,-22.51078292,-3.23%
7,  保定市,1097.021116,1155.28,-58.25888396,-5.31%
8,  张家口市,422.3879565,462.31,-39.92204349,-9.45%
9,  承德市,342.4243626,371.91,-29.48563744,-8.61%
10,  沧州市,700.3494304,717.5,-17.15056962,-2.45%
11,  廊坊市,411.2238747,413.33,-2.106125287,-0.51%
12,  衡水市,429.242891,436.27,-7.027109005,-1.64%
13,  太原市,348.6633047,365.12,-16.45669532,-4.72%
14,  大同市,318.6845003,315.6,3.084500267,0.97%
15,  阳泉市,132.1722321,130.27,1.902232119,1.44%
16,  长治市,329.0984379,329.63,-0.531562102,-0.16%
17,  晋城市,223.5686513,216.53,7.038651321,3.15%
18,  朔州市,153.9853506,157.37,-3.384649402,-2.20%
19,  晋中市,313.1598721,320,-6.840127858,-2.18%
20,  运城市,505.3877394,503.62,1.76773941,0.35%
21,  忻州市,309.340418,306.91,2.430417995,0.79%
22,  临汾市,421.0079056,437.04,-16.03209443,-3.81%
23,  吕梁市,361.8059516,381.09,-19.28404839,-5.33%
24,  呼和浩特市,269.0306507,227.37,41.66065065,15.49%
25,  包头市,255.2157592,219.59,35.62575919,13.96%
26,  乌海市,48.51481753,48.06,0.454817528,0.94%
27,  赤峰市,433.9443837,459.19,-25.2456163,-5.82%
28,  通辽市,308.6632742,318.86,-10.19672585,-3.30%
29,  鄂尔多斯市,160.7886905,149.48,11.30869048,7.03%
30,  呼伦贝尔市,269.8100201,271.76,-1.949979918,-0.72%
31,  巴彦淖尔市,173.5181732,173.3,0.218173155,0.13%
32,  乌兰察布市,212.869854,289.72,-76.85014603,-36.10%
33,  沈阳市,781.0066418,716.55,64.45664178,8.25%
34,  大连市,614.5017731,584.8,29.70177307,4.83%
35,  鞍山市,351.0018052,352.03,-1.028194763,-0.29%
36,  抚顺市,222.9012858,222.61,0.291285774,0.13%
37,  本溪市,155.5659081,155.46,0.105908115,0.07%
38,  丹东市,242.6783974,242.64,0.03839738,0.02%
39,  锦州市,310.1868469,310.19,-0.003153069,0.00%
40,  营口市,234.4249062,235.04,-0.615093831,-0.26%
41,  阜新市,192.4028195,192.27,0.132819536,0.07%
42,  辽阳市,183.4815541,183.48,0.001554101,0.00%
43,  盘锦市,132.9011977,130.01,2.891197722,2.18%
44,  铁岭市,305.9896438,306.06,-0.070356151,-0.02%
45,  朝阳市,329.4927499,342.6,-13.10725006,-3.98%
