,城市,常住人口,户籍人口,2013流动人口,2013流动人口
0,北京市,2043.943984,1297.5,746.443984,36.52%
1,天津市,1383.864424,993.2,390.6644242,28.23%
2,  石家庄市,1033.295784,1005.3,27.99578435,2.71%
3,  唐山市,764.7973461,741.8,22.99734614,3.01%
4,  秦皇岛市,301.3877897,291.2,10.18778965,3.38%
5,  邢台市,717.2239127,747.7,-30.47608726,-4.25%
6,  保定市,1131.210244,1172.1,-40.88975596,-3.61%
7,  张家口市,438.3783717,468.4,-30.02162835,-6.85%
8,  承德市,349.7739931,376.9,-27.12600692,-7.76%
9,  沧州市,722.0778967,744.4,-22.32210326,-3.09%
10,  廊坊市,441.9747525,433.2,8.774752451,1.99%
11,  衡水市,437.6547768,442.4,-4.745223151,-1.08%
12,  太原市,424.5835048,365.8,58.78350478,13.84%
13,  大同市,334.8509078,319.4,15.45090778,4.61%
14,  阳泉市,137.7401263,132.1,5.64012631,4.09%
15,  长治市,336.161172,336.1,0.061171976,0.02%
16,  晋城市,228.8481822,218.2,10.64818221,4.65%
17,  朔州市,173.0297741,173.5,-0.470225926,-0.27%
18,  晋中市,327.8369056,325,2.836905593,0.87%
19,  运城市,518.0578825,519.5,-1.44211751,-0.28%
20,  忻州市,309.2196106,310,-0.780389423,-0.25%
21,  临汾市,435.6177446,425.2,10.41774464,2.39%
22,  吕梁市,376.1704424,393.7,-17.52955761,-4.66%
23,  呼和浩特市,292.8490312,230.3,62.54903116,21.36%
24,  包头市,271.2248129,223.5,47.72481286,17.60%
25,  乌海市,54.49051743,54.8,-0.309482575,-0.57%
26,  赤峰市,431.6155116,461.2,-29.58448845,-6.85%
27,  通辽市,313.4448644,319.8,-6.355135616,-2.03%
28,  鄂尔多斯市,200.1751697,152.1,48.0751697,24.02%
29,  巴彦淖尔市,166.6250102,186.7,-20.07498976,-12.05%
30,  大连市,680.4017217,590.3,90.10172169,13.24%
31,  鞍山市,351.0014304,350.4,0.601430408,0.17%
32,  抚顺市,211.3017159,219.3,-7.998284113,-3.79%
33,  本溪市,172.5680976,153.2,19.36809755,11.22%
34,  丹东市,240.7752484,240.5,0.275248393,0.11%
35,  阜新市,180.3483204,191.6,-11.2516796,-6.24%
36,  辽阳市,185.6985541,180.3,5.398554114,2.91%
37,  铁岭市,303.5561158,302.2,1.35611578,0.45%
38,  朝阳市,299.2469039,340.6,-41.35309605,-13.82%
39,  葫芦岛市,259.6024757,280,-20.39752427,-7.86%
40,  吉林市,432.0579617,430.8,1.257961738,0.29%
41,  辽源市,122.2998242,122,0.299824168,0.25%
42,  通化市,225.2878218,224.6,0.68782184,0.31%
43,  白山市,128.1991307,127.9,0.299130747,0.23%
44,  白城市,201.3019035,200,1.301903454,0.65%
45,  哈尔滨市,993.2799607,993.5,-0.220039293,-0.02%
46,  齐齐哈尔市,531.2239939,559.1,-27.87600614,-5.25%
47,  鸡西市,187.3915884,185.9,1.491588364,0.80%
48,  鹤岗市,108.6627336,108.5,0.16273356,0.15%
49,  双鸭山市,150.8218725,150.4,0.421872499,0.28%
50,  大庆市,281.6325748,281.6,0.032574771,0.01%
51,  伊春市,125.7046795,125.2,0.504679493,0.40%
52,  佳木斯市,240.6186721,239.3,1.318672139,0.55%
53,  绥化市,572.6858829,557,15.68588286,2.74%
54,上海市,2363.946447,1426.9,937.0464468,39.64%
55,  南京市,813.5069189,638.5,175.0069189,21.51%
56,  无锡市,644.8827083,470.1,174.7827083,27.10%
57,  徐州市,856.8338418,990.5,-133.6661582,-15.60%
58,  常州市,466.8293371,364.8,102.0293371,21.86%
59,  苏州市,1053.385542,647.8,405.5855423,38.50%
60,  南通市,729.3171856,765.2,-35.88281445,-4.92%
61,  连云港市,439.6545106,511,-71.34548944,-16.23%
62,  淮安市,480.3235647,546.8,-66.47643529,-13.84%
63,  盐城市,722.6906328,822.4,-99.70936718,-13.80%
64,  镇江市,314.4554692,271.4,43.05546922,13.69%
65,  泰州市,462.7890644,506.4,-43.61093563,-9.42%
66,  宿迁市,479.8026606,560.3,-80.49733939,-16.78%
67,  杭州市,877.0043164,700.5,176.5043164,20.13%
68,  宁波市,763.3490745,577.7,185.6490745,24.32%
69,  温州市,914.9400793,800.2,114.7400793,12.54%
70,  嘉兴市,453.7506279,344.5,109.2506279,24.08%
71,  湖州市,290.2013078,261.4,28.80130776,9.92%
72,  绍兴市,440.4252465,440.8,-0.374753513,-0.09%
73,  金华市,539.2523225,470.6,68.6523225,12.73%
74,  衢州市,252.688949,252.8,-0.111051045,-0.04%
75,  台州市,600.1982476,591,9.198247603,1.53%
76,  丽水市,211.6524477,262.6,-50.94755232,-24.07%
77,  合肥市,754.6008046,710.5,44.10080455,5.84%
78,  芜湖市,384.3982397,383.4,0.998239711,0.26%
79,  蚌埠市,317.9457838,367.8,-49.85421622,-15.68%
80,  淮南市,233.4351578,243.8,-10.36484219,-4.44%
81,  淮北市,211.9472983,218.3,-6.352701687,-3.00%
82,  铜陵市,73.25019158,74.2,-0.949808416,-1.30%
83,  黄山市,147.688875,147.3,0.388874987,0.26%
84,  滁州市,393.7938826,452.1,-58.3061174,-14.81%
85,  阜阳市,762.9185954,1039.8,-276.8814046,-36.29%
86,  宿州市,528.6299977,651.7,-123.0700023,-23.28%
87,  六安市,565.1157065,710.3,-145.1842935,-25.69%
88,  亳州市,488.7701134,612.6,-123.8298866,-25.33%
89,  池州市,141.6465678,161.9,-20.25343219,-14.30%
90,  宣城市,255.5911729,279.6,-24.0088271,-9.39%
91,  福州市,723.4990224,655.3,68.19902237,9.43%
92,  厦门市,364.0001163,190.9,173.1001163,47.55%
93,  莆田市,279.9981377,329.3,-49.30186233,-17.61%
94,  三明市,250.6993748,274.2,-23.50062521,-9.37%
95,  泉州市,824.9978705,693.2,131.7978705,15.98%
96,  漳州市,487.0024135,482.5,4.502413535,0.92%
