,城市,常住人口,户籍人口,2015流动人口,2015流动人口占比,l
0,北京市,2133.189659,1333.4,799.7896595,37.49%,3.75E-01
1,天津市,1494.514924,1016.7,477.8149243,31.97%,3.20E-01
2,河北省,675.7338193,7592.7,-6916.966181,-1023.62%,-1.02E+01
3,  石家庄市,1055.802593,1024.9,30.90259342,2.93%,2.93E-02
4,  唐山市,773.8101057,753.2,20.61010566,2.66%,2.66E-02
5,  秦皇岛市,305.4890026,295.1,10.3890026,3.40%,3.40E-02
6,  邯郸市,934.9498831,1029.5,-94.55011687,-10.11%,-1.01E-01
7,  邢台市,723.6755427,772.9,-49.22445733,-6.80%,-6.80E-02
8,  保定市,1145.31663,1196.6,-51.28337044,-4.48%,-4.48E-02
9,  张家口市,441.7068107,468.6,-26.89318926,-6.09%,-6.09E-02
10,  承德市,352.1165548,380.7,-28.58344524,-8.12%,-8.12E-02
11,  沧州市,734.2258412,768.4,-34.17415878,-4.65%,-4.65E-02
12,  廊坊市,449.5141405,450.4,-0.885859483,-0.20%,-2.00E-03
13,  衡水市,441.6011452,452.6,-10.99885482,-2.49%,-2.49E-02
14,山西省,313.2996051,3563.5,-3250.200395,-1037.41%,-1.04E+01
15,  太原市,428.8314216,369.7,59.13142165,13.79%,1.38E-01
16,  大同市,338.3407978,339.2,-0.859202216,-0.25%,-2.50E-03
17,  阳泉市,138.9336668,133.2,5.733666802,4.13%,4.13E-02
18,  长治市,339.6115675,339.2,0.411567507,0.12%,1.20E-03
19,  晋城市,230.4742229,218.9,11.5742229,5.02%,5.02E-02
20,  朔州市,174.907614,175.4,-0.492385999,-0.28%,-2.80E-03
21,  晋中市,331.2655087,330.5,0.765508685,0.23%,2.30E-03
22,  运城市,523.8525283,525.2,-1.347471665,-0.26%,-2.60E-03
23,  忻州市,312.1395669,312.5,-0.360433107,-0.12%,-1.20E-03
24,  临汾市,440.2656675,429,11.26566753,2.56%,2.56E-02
25,  吕梁市,380.2991022,390.7,-10.40089779,-2.73%,-2.73E-02
26,内蒙古自治区,229.2522906,2179.7,-1950.447709,-850.79%,-8.51E+00
27,  呼和浩特市,301.586061,237.9,63.686061,21.12%,2.11E-01
28,  包头市,278.2691542,223.7,54.56915424,19.61%,1.96E-01
29,  乌海市,55.36485316,55.4,-0.035146837,-0.06%,-6.00E-04
30,  赤峰市,430.5046358,465.8,-35.29536421,-8.20%,-8.20E-02
31,  通辽市,312.4875787,319.4,-6.912421332,-2.21%,-2.21E-02
32,  鄂尔多斯市,202.6203735,156,46.62037352,23.01%,2.30E-01
33,  呼伦贝尔市,253.059067,265.9,-12.84093297,-5.07%,-5.07E-02
34,  巴彦淖尔市,167.230876,178.6,-11.369124,-6.80%,-6.80E-02
35,  乌兰察布市,212.3889834,277,-64.61101658,-30.42%,-3.04E-01
36,辽宁省,356.2893001,4244.2,-3887.9107,-1091.22%,-1.09E+01
37,  沈阳市,827.2006502,730.8,96.40065023,11.65%,1.17E-01
38,  大连市,696.34762,594.3,102.04762,14.65%,1.47E-01
39,  鞍山市,356.8494017,348.2,8.649401735,2.42%,2.42E-02
40,  抚顺市,208.6498864,217.4,-8.750113594,-4.19%,-4.19E-02
41,  本溪市,172.5489769,152,20.54897686,11.91%,1.19E-01
42,  营口市,244.5015498,233.3,11.2015498,4.58%,4.58E-02
43,  阜新市,178.9026032,191,-12.09739685,-6.76%,-6.76E-02
44,  辽阳市,185.1489599,179.9,5.248959854,2.83%,2.83E-02
45,  盘锦市,143.9004138,129.2,14.70041384,10.22%,1.02E-01
46,  铁岭市,266.3506234,302,-35.64937657,-13.38%,-1.34E-01
47,  朝阳市,297.6491806,340.6,-42.95081938,-14.43%,-1.44E-01
48,  葫芦岛市,257.5034795,280.7,-23.19652047,-9.01%,-9.01E-02
49,吉林省,331.4859808,2456.8,-2125.314019,-641.15%,-6.41E+00
50,  长春市,753.611347,754.6,-0.988653002,-0.13%,-1.30E-03
51,  吉林市,428.3791496,427.7,0.679149564,0.16%,1.60E-03
52,  四平市,327.998645,328.1,-0.101355014,-0.03%,-3.00E-04
53,  辽源市,122.2500398,121.8,0.450039846,0.37%,3.70E-03
54,  通化市,222.2433338,222.2,0.043333774,0.02%,2.00E-04
55,  白山市,126.6958537,126.3,0.395853659,0.31%,3.10E-03
56,  松原市,280.7014841,278.5,2.201484139,0.78%,7.80E-03
57,  白城市,198.3985138,197.8,0.59851385,0.30%,3.00E-03
58,黑龙江省,337.6088684,3695.3,-3357.691132,-994.55%,-9.95E+00
59,  哈尔滨市,991.2517634,987.3,3.951763439,0.40%,4.00E-03
60,  齐齐哈尔市,523.5447422,553.2,-29.6552578,-5.66%,-5.66E-02
61,  鸡西市,185.0754277,183.6,1.475427711,0.80%,8.00E-03
62,  鹤岗市,107.4195992,107,0.419599238,0.39%,3.90E-03
63,  双鸭山市,149.3865143,149,0.386514294,0.26%,2.60E-03
64,  大庆市,278.293841,276,2.29384103,0.82%,8.20E-03
65,  伊春市,122.5882212,122,0.588221211,0.48%,4.80E-03
66,  七台河市,85.28400271,88.2,-2.915997293,-3.42%,-3.42E-02
67,  牡丹江市,295.3862404,264,31.38624042,10.63%,1.06E-01
68,  黑河市,170.3781084,170.5,-0.121891553,-0.07%,-7.00E-04
69,  绥化市,554.4534402,553.2,1.253440164,0.23%,2.30E-03
70,上海市,2420.427236,1438.7,981.7272363,40.56%,4.06E-01
