,城市,常住人口,户籍人口,2016流动人口,2016流动人口占比,l
0,北京市,2161.055241,1345.2,815.855241,37.75%,3.78E-01
1,天津市,1531.881252,1026.9,504.9812523,32.96%,3.30E-01
2,  石家庄市,1065.885391,1028.84,37.04539075,3.48%,3.48E-02
3,  唐山市,778.4714023,754.96,23.51140233,3.02%,3.02E-02
4,  秦皇岛市,306.8875227,295.64,11.2475227,3.67%,3.67E-02
5,  邯郸市,940.3383857,1049.7,-109.3616143,-11.63%,-1.16E-01
6,  邢台市,727.5446487,780.39,-52.84535125,-7.26%,-7.26E-02
7,  保定市,1032.215227,1202.19,-169.9747731,-16.47%,-1.65E-01
8,  张家口市,442.134987,469.01,-26.87501297,-6.08%,-6.08E-02
9,  承德市,352.8704844,382.35,-29.47951565,-8.35%,-8.35E-02
10,  沧州市,740.8984582,774.36,-33.46154176,-4.52%,-4.52E-02
11,  廊坊市,454.2535622,461.13,-6.876437752,-1.51%,-1.51E-02
12,  衡水市,442.9466652,452.26,-9.313334786,-2.10%,-2.10E-02
13,  太原市,430.8782194,367.39,63.48821937,14.73%,1.47E-01
14,  大同市,339.9174869,316.22,23.69748685,6.97%,6.97E-02
15,  阳泉市,139.5476246,132.16,7.387624625,5.29%,5.29E-02
16,  长治市,341.2436267,336.85,4.393626709,1.29%,1.29E-02
17,  晋城市,231.1956261,219.44,11.75562608,5.08%,5.08E-02
18,  朔州市,175.8096808,161.51,14.29968082,8.13%,8.13E-02
19,  晋中市,332.7974486,329.66,3.137448623,0.94%,9.40E-03
20,  运城市,526.3693956,510.2,16.16939562,3.07%,3.07E-02
21,  忻州市,313.4856196,306.52,6.965619622,2.22%,2.22E-02
22,  临汾市,442.512672,430.59,11.92267198,2.69%,2.69E-02
23,  吕梁市,382.274647,387.48,-5.205352958,-1.36%,-1.36E-02
24,  呼和浩特市,304.5087298,238.58,65.92872975,21.65%,2.17E-01
25,  包头市,281.424996,223.86,57.56499603,20.45%,2.05E-01
26,  乌海市,55.4998166,44.49,11.0098166,19.84%,1.98E-01
27,  赤峰市,430.1636044,462.63,-32.46639557,-7.55%,-7.55E-02
28,  通辽市,312.2382449,319.37,-7.131755069,-2.28%,-2.28E-02
29,  鄂尔多斯市,204.0002317,157.32,46.6802317,22.88%,2.29E-01
30,  呼伦贝尔市,253.2749362,259.3,-6.025063756,-2.38%,-2.38E-02
31,  巴彦淖尔市,167.4396226,174.7,-7.260377358,-4.34%,-4.34E-02
32,  乌兰察布市,211.4191712,273.87,-62.45082876,-29.54%,-2.95E-01
33,  沈阳市,828.9038571,730.41,98.49385711,11.88%,1.19E-01
34,  大连市,698.545048,593.56,104.985048,15.03%,1.50E-01
35,  鞍山市,361.1492196,346.05,15.0992196,4.18%,4.18E-02
36,  抚顺市,207.600611,215.76,-8.159389047,-3.93%,-3.93E-02
37,  本溪市,172.1492107,151.21,20.93921071,12.16%,1.22E-01
38,  丹东市,241.1017381,238.15,2.951738066,1.22%,1.22E-02
39,  锦州市,307.2023515,302.56,4.642351471,1.51%,1.51E-02
40,  营口市,244.4489786,232.62,11.8289786,4.84%,4.84E-02
41,  阜新市,178.2027059,189.47,-11.26729409,-6.32%,-6.32E-02
42,  辽阳市,184.7508352,178.96,5.790835219,3.13%,3.13E-02
43,  盘锦市,143.8492633,129.54,14.30926332,9.95%,9.95E-02
44,  铁岭市,265.6985117,300.38,-34.68148826,-13.05%,-1.31E-01
45,  朝阳市,296.2473659,340.9,-44.65263413,-15.07%,-1.51E-01
46,  葫芦岛市,255.5960037,280.1,-24.50399631,-9.59%,-9.59E-02
47,  长春市,754.1916017,753.83,0.361601658,0.05%,5.00E-04
48,  吉林市,426.953777,426.24,0.713777017,0.17%,1.70E-03
49,  四平市,327.0002386,326.41,0.590238638,0.18%,1.80E-03
50,  辽源市,121.4001169,120.8,0.600116949,0.49%,4.90E-03
51,  通化市,221.6494875,221.1,0.549487503,0.25%,2.50E-03
52,  白山市,125.8190492,125.37,0.449049232,0.36%,3.60E-03
53,  松原市,278.2584083,278.07,0.188408253,0.07%,7.00E-04
54,  白城市,196.7001771,196.67,0.030177111,0.02%,2.00E-04
55,  哈尔滨市,974.3357955,961.37,12.96579548,1.33%,1.33E-02
56,  齐齐哈尔市,519.9856734,549.39,-29.40432665,-5.65%,-5.65E-02
57,  鸡西市,182.3707746,181.7,0.670774573,0.37%,3.70E-03
58,  鹤岗市,106.3102358,105.61,0.700235779,0.66%,6.60E-03
59,  双鸭山市,148.2143175,147.43,0.784317474,0.53%,5.30E-03
60,  大庆市,270.9451836,275.48,-4.534816416,-1.67%,-1.67E-02
61,  伊春市,121.5815617,121.19,0.391561673,0.32%,3.20E-03
