城市,2017流动人口,2017流动人口占比
  北京市,808.705951,3.72E-01
  天津市,510.5348665,3.28E-01
  石家庄市,36.31163347,3.38E-02
  唐山市,22.24344219,2.84E-02
  秦皇岛市,-115.049339,-6.29E-01
  邯郸市,-108.7103927,-1.15E-01
  邢台市,-57.27065611,-7.84E-02
  保定市,-47.64853961,-4.11E-02
  张家口市,-27.6636594,-6.25E-02
  承德市,-29.8976952,-8.47E-02
  沧州市,-32.57142857,-4.36E-02
  廊坊市,-11.08704131,-2.42E-02
  衡水市,-10.56798623,-2.38E-02
  太原市,63.15715039,1.46E-01
  大同市,23.40857352,6.86E-02
  阳泉市,7.091878275,5.06E-02
  长治市,3.788414322,1.11E-02
  晋城市,11.79077113,5.09E-02
  朔州市,13.51682369,7.66E-02
  晋中市,2.222906328,6.70E-03
  运城市,-1.982169134,-3.70E-03
  忻州市,6.826438651,2.17E-02
  临汾市,10.68161021,2.40E-02
  吕梁市,-6.651876738,-1.73E-02
  呼和浩特市,66.41415218,2.16E-01
  包头市,60.34065328,2.12E-01
  乌海市,11.70465807,2.10E-01
  赤峰市,-32.77051807,-7.62E-02
  通辽市,-6.719178521,-2.15E-02
  鄂尔多斯市,46.01995935,2.25E-01
  呼伦贝尔市,-6.294979732,-2.49E-02
  巴彦淖尔市,-6.978707783,-4.15E-02
  乌兰察布市,-63.09854662,-2.99E-01
  沈阳市,95.15249727,1.15E-01
  大连市,102.6970145,1.47E-01
  鞍山市,14.69557387,4.07E-02
  抚顺市,-7.752425673,-3.74E-02
  本溪市,21.35094424,1.25E-01
  丹东市,2.603145117,1.08E-02
  锦州市,4.545737861,1.48E-02
  营口市,11.15044977,4.57E-02
  阜新市,-11.34801359,-6.39E-02
  辽阳市,5.399537716,2.93E-02
  盘锦市,13.65070603,9.50E-02
  铁岭市,-34.85332311,-1.31E-01
  朝阳市,-45.9481573,-1.56E-01
  葫芦岛市,-24.60417406,-9.63E-02
  长春市,0.634463832,8.00E-04
  吉林市,2.350392611,5.50E-03
  四平市,1.00367527,3.10E-03
  辽源市,0.549543163,4.60E-03
