城市,2010流动人口,2010流动人口占比,2011流动人口,2011流动人口占比,2012流动人口,2012流动人口占比,2013流动人口,2013流动人口占比,2015流动人口,2015流动人口占比,2016流动人口,2016流动人口占比,2017流动人口,2017流动人口占比
北京市,479.1742582,2.78E-01,600.6438329,3.23E-01,712.3434544,3.58E-01,746.443984,3.65E-01,799.7896595,3.75E-01,815.855241,3.78E-01,808.705951,3.72E-01
天津市,222.2327459,1.85E-01,278.8785256,2.21E-01,330.5430721,2.49E-01,390.6644242,2.82E-01,477.8149243,3.20E-01,504.9812523,3.30E-01,510.5348665,3.28E-01
  石家庄市,38.9688,3.83E-02,13.64660475,1.36E-02,25.4418773,2.49E-02,27.99578435,2.71E-02,30.90259342,2.93E-02,37.04539075,3.48E-02,36.31163347,3.38E-02
  唐山市,11.07727584,1.49E-02,17.52299247,2.33E-02,23.39103612,3.08E-02,22.99734614,3.01E-02,20.61010566,2.66E-02,23.51140233,3.02E-02,22.24344219,2.84E-02
  秦皇岛市,9.529494651,3.21E-02,10.10834456,3.39E-02,10.0181054,3.34E-02,10.18778965,3.38E-02,10.3890026,3.40E-02,11.2475227,3.67E-02,-115.049339,-6.29E-01
  邢台市,-22.51078292,-3.23E-02,-26.87303915,-3.81E-02,-23.40167274,-3.28E-02,-30.47608726,-4.25E-02,-49.22445733,-6.80E-02,-52.84535125,-7.26E-02,-57.27065611,-7.84E-02
  保定市,-58.25888396,-5.31E-02,-49.79651564,-4.48E-02,-36.68641953,-3.26E-02,-40.88975596,-3.61E-02,-51.28337044,-4.48E-02,-169.9747731,-1.65E-01,-47.64853961,-4.11E-02
  张家口市,-39.92204349,-9.45E-02,-36.77614647,-8.57E-02,-31.27773402,-7.17E-02,-30.02162835,-6.85E-02,-26.89318926,-6.09E-02,-26.87501297,-6.08E-02,-27.6636594,-6.25E-02
  承德市,-29.48563744,-8.61E-02,-27.04696836,-7.82E-02,-26.02644693,-7.47E-02,-27.12600692,-7.76E-02,-28.58344524,-8.12E-02,-29.47951565,-8.35E-02,-29.8976952,-8.47E-02
  沧州市,-17.15056962,-2.45E-02,-22.28625615,-3.15E-02,-17.74460933,-2.47E-02,-22.32210326,-3.09E-02,-34.17415878,-4.65E-02,-33.46154176,-4.52E-02,-32.57142857,-4.36E-02
  廊坊市,-2.106125287,-5.10E-03,5.2665846,1.24E-02,13.30618388,3.04E-02,8.774752451,1.99E-02,-0.885859483,-2.00E-03,-6.876437752,-1.51E-02,-11.08704131,-2.42E-02
  衡水市,-7.027109005,-1.64E-02,-7.680139411,-1.78E-02,-6.110359051,-1.40E-02,-4.745223151,-1.08E-02,-10.99885482,-2.49E-02,-9.313334786,-2.10E-02,-10.56798623,-2.38E-02
  太原市,-16.45669532,-4.72E-02,-11.48229965,-3.24E-02,57.00038546,1.35E-01,58.78350478,1.38E-01,59.13142165,1.38E-01,63.48821937,1.47E-01,63.15715039,1.46E-01
  大同市,3.084500267,9.70E-03,8.153110113,2.50E-02,13.98828381,4.20E-02,15.45090778,4.61E-02,-0.859202216,-2.50E-03,23.69748685,6.97E-02,23.40857352,6.86E-02
  阳泉市,1.902232119,1.44E-02,3.829505298,2.84E-02,5.772597403,4.21E-02,5.64012631,4.09E-02,5.733666802,4.13E-02,7.387624625,5.29E-02,7.091878275,5.06E-02
  长治市,-0.531562102,-1.60E-03,1.371366761,4.10E-03,0.250912835,7.00E-04,0.061171976,2.00E-04,0.411567507,1.20E-03,4.393626709,1.29E-02,3.788414322,1.11E-02
  晋城市,7.038651321,3.15E-02,9.685452887,4.29E-02,10.78141819,4.72E-02,10.64818221,4.65E-02,11.5742229,5.02E-02,11.75562608,5.08E-02,11.79077113,5.09E-02
  朔州市,-3.384649402,-2.20E-02,3.955178193,2.43E-02,-0.499742413,-2.90E-03,-0.470225926,-2.70E-03,-0.492385999,-2.80E-03,14.29968082,8.13E-02,13.51682369,7.66E-02
  晋中市,-6.840127858,-2.18E-02,-6.300226571,-2.00E-02,2.794358974,8.60E-03,2.836905593,8.70E-03,0.765508685,2.30E-03,3.137448623,9.40E-03,2.222906328,6.70E-03
  运城市,1.76773941,3.50E-03,7.869675425,1.54E-02,-1.409826179,-2.70E-03,-1.44211751,-2.80E-03,-1.347471665,-2.60E-03,16.16939562,3.07E-02,-1.982169134,-3.70E-03
