城市,2010流动人口,2010流动人口占比,2011流动人口,2011流动人口占比,2012流动人口,2012流动人口占比,2013流动人口,2013流动人口.1,2015流动人口,2015流动人口占比,2016流动人口,2016流动人口占比,2017流动人口,2017流动人口占比
北京市,479.1742582,27.78%,600.6438329,32.32%,712.3434544,35.79%,746.443984,36.52%,799.7896595,37.49%,815.855241,37.75%,808.705951,37.24%
天津市,222.2327459,18.49%,278.8785256,22.07%,330.5430721,24.91%,390.6644242,28.23%,477.8149243,31.97%,504.9812523,32.96%,510.5348665,32.84%
  石家庄市,38.9688,3.83%,13.64660475,1.36%,25.4418773,2.49%,27.99578435,2.71%,30.90259342,2.93%,37.04539075,3.48%,36.31163347,3.38%
  唐山市,11.07727584,1.49%,17.52299247,2.33%,23.39103612,3.08%,22.99734614,3.01%,20.61010566,2.66%,23.51140233,3.02%,22.24344219,2.84%
  秦皇岛市,9.529494651,3.21%,10.10834456,3.39%,10.0181054,3.34%,10.18778965,3.38%,10.3890026,3.40%,11.2475227,3.67%,-115.049339,-62.89%
  邢台市,-22.51078292,-3.23%,-26.87303915,-3.81%,-23.40167274,-3.28%,-30.47608726,-4.25%,-49.22445733,-6.80%,-52.84535125,-7.26%,-57.27065611,-7.84%
  保定市,-58.25888396,-5.31%,-49.79651564,-4.48%,-36.68641953,-3.26%,-40.88975596,-3.61%,-51.28337044,-4.48%,-169.9747731,-16.47%,-47.64853961,-4.11%
  张家口市,-39.92204349,-9.45%,-36.77614647,-8.57%,-31.27773402,-7.17%,-30.02162835,-6.85%,-26.89318926,-6.09%,-26.87501297,-6.08%,-27.6636594,-6.25%
  承德市,-29.48563744,-8.61%,-27.04696836,-7.82%,-26.02644693,-7.47%,-27.12600692,-7.76%,-28.58344524,-8.12%,-29.47951565,-8.35%,-29.8976952,-8.47%
  沧州市,-17.15056962,-2.45%,-22.28625615,-3.15%,-17.74460933,-2.47%,-22.32210326,-3.09%,-34.17415878,-4.65%,-33.46154176,-4.52%,-32.57142857,-4.36%
  廊坊市,-2.106125287,-0.51%,5.2665846,1.24%,13.30618388,3.04%,8.774752451,1.99%,-0.885859483,-0.20%,-6.876437752,-1.51%,-11.08704131,-2.42%
  衡水市,-7.027109005,-1.64%,-7.680139411,-1.78%,-6.110359051,-1.40%,-4.745223151,-1.08%,-10.99885482,-2.49%,-9.313334786,-2.10%,-10.56798623,-2.38%
  太原市,-16.45669532,-4.72%,-11.48229965,-3.24%,57.00038546,13.51%,58.78350478,13.84%,59.13142165,13.79%,63.48821937,14.73%,63.15715039,14.58%
  大同市,3.084500267,0.97%,8.153110113,2.50%,13.98828381,4.20%,15.45090778,4.61%,-0.859202216,-0.25%,23.69748685,6.97%,23.40857352,6.86%
