,城市,2017房地产投资额,2016房地产投资额,2015房地产投资额,2014房地产投资额,2013房地产投资额,2012房地产投资额,2011房地产投资额,2010房地产投资额,总数
0,北京市,40454000,42363473,39113411,34834045,31534419,30363340,29010686,23377124,271050498
1,天津市,23000100,18715500,16996496,14808152,12599969,10800492,8666424,7351836,112938969
2,  石家庄市,10157650,9862702,10180594,9201619,8332125,7891413,5379994,3739781,64745878
3,  唐山市,4589368,5686799,6092982,5691492,5165172,5062717,3383941,1917890,37590361
4,  秦皇岛市,2516902,2572302,2687979,2351162,2133191,1648610,1202592,944489,16057227
5,  邯郸市,3817210,3412519,3770938,3050380,2578271,2402901,2256285,1133818,22422322
6,  邢台市,1915410,1819795,1518321,1247842,909317,852464,623933,476109,9363191
7,  保定市,7357727,4446244,4563094,2919637,3479088,3538309,2739393,1744327,30787819
8,  张家口市,3259972,2116708,1764333,1993354,2091204,2085601,1731498,962753,16005423
9,  承德市,1365741,1314865,1390767,1409338,1203260,1438437,927220,671901,9721529
10,  沧州市,2833656,2380975,2019066,1845062,1500083,1527940,1126206,696143,13929131
11,  廊坊市,7036431,6708679,5222496,3034575,2430705,2941790,2491009,2484308,32349993
12,  衡水市,1900820,1588965,1313932,1208145,1042798,1219377,787283,428868,9490188
13,  太原市,6819017,6042152,4832293,4299194,3647214,3120781,2410946,1650122,32821719
14,  大同市,1677293,1391671,2373245,2650205,1706096,1341815,906148,836614,12883087
15,  阳泉市,639781,466396,527008,723913,569667,588843,433434,319788,4268830
16,  长治市,677962,875323,752331,942084,759160,537603,327611,264998,5137072
17,  晋城市,803648,745974,581820,508188,451819,375014,323666,265430,4055559
18,  朔州市,280730,676628,771700,901456,464007,242177,197812,161463,3695973
19,  晋中市,1790361,1188919,1129026,769336,703127,322186,298132,208135,6409222
20,  运城市,1163114,1236447,1177222,930300,577742,526266,332492,401944,6345527
21,  忻州市,440958,523895,617376,381082,276277,240979,181315,208819,2870701
22,  临汾市,975340,1126002,842011,655801,555646,373874,313690,389268,5231632
23,  呼和浩特市,5205200,5090452,5631305,5816832,4479900,3444948,2543537,1782909,33995083
24,  包头市,1845728,1973219,1978681,2064694,1585583,2341741,2028264,1404316,15222226
25,  乌海市,220991,370117,487262,478631,463456,498305,248990,230515,2998267
26,  赤峰市,1099213,857116,1285905,1471732,1398388,1280783,833697,545738,8772572
27,  通辽市,488483,315686,887106,691912,426322,1006000,577860,205298,4598667
28,  鄂尔多斯市,588446,588280,834954,1375613,1753420,4260312,2805296,2194432,14400753
29,  呼伦贝尔市,877585,669427,1029100,1079776,907452,1104632,497859,423742,6589573
30,  巴彦淖尔市,295876,257637,439032,582918,664208,695038,562060,509481,4006250
31,  沈阳市,7096706,13376632,19758182,21840129,19429642,16847242,14500794,11887007,124736334
32,  大连市,5351742,8974595,14293353,17103585,13965204,11074630,7680202,5789421,84232732
33,  鞍山市,1495845,2060841,2529523,4559099,3847745,3326220,2358587,1796060,21973920
34,  抚顺市,565671,774384,1248594,1495420,1297002,1127365,848293,642703,7999432
35,  本溪市,283064,763966,1126002,1327049,1044135,831247,572849,    46511 1,5948312
36,  丹东市,800511,855324,1411256,2562833,1983021,1572929,1150099,884127,11220100
37,  锦州市,1042617,1140306,2011821,1879992,1380929,1144960,925383,494903,10020911
38,  阜新市,256566,432686,1217045,1328399,915816,470736,328608,203944,5153800
39,  辽阳市,384667,688119,1148637,1469125,1261844,1095311,620375,431852,7099930
40,  盘锦市,873281,2395411,2837162,2257521,1787849,1096440,861412,580648,12689724
41,  铁岭市,581296,1217544,1311961,2439878,2146222,1937310,1748262,1096187,12478660
42,  朝阳市,461850,885871,1219016,1350923,1078621,885029,742338,591524,7215172
43,  葫芦岛市,798529,971443,1354893,1818823,1350483,805593,529605,407438,8036807
44,  长春市,5966477,5060231,5343977,6135822,6496535,6664177,5436416,4439252,45542887
45,  吉林市,1318258,1393617,1424628,2298738,2488011,2061979,1396112,992619,13373962
46,  四平市,427912,246936,480451,486384,586710,639329,269274,282703,3419699
47,  辽源市,121525,163608,199859,440479,465180,257858,207824,367234,2223567
48,  通化市,639013,632000,854434,846151,1081615,822687,757414,764535,6397849
49,  白山市,135986,145226,240847,412098,372396,200446,92107,150143,1749249
50,  松原市,352662,502647,802765,1030478,813761,737029,585691,281543,5106576
51,  白城市,241223,275879,249480,133494,110806,93099,65762,56054,1225797
52,  哈尔滨市,5121301,5817879,6735677,8496514,7720153,5619957,3607358,2787469,45906308
53,  齐齐哈尔市,764700,973364,1299771,1172220,1041284,852015,587472,435976,7126802
54,  鸡西市,232082,191078,272849,292932,436076,333177,300056,231532,2289782
55,  鹤岗市,37987,51317,67815,125609,121896,114617,82720,73406,675367
56,  双鸭山市,87374,166186,164120,204701,224335,299188,228038,79750,1453692
57,  大庆市,540192,453738,1573794,2772410,2390401,1644847,1195043,837994,11408419
58,  伊春市,74515,100497,86048,98054,162252,176882,110433,81846,890527
59,  佳木斯市,526126,634117,548408,692423,770615,695764,582021,260638,4710112
60,  七台河市,63645,27234,51211,123814,135497,149668,54377,45129,650575
61,  牡丹江市,563153,762743,1575240,1094771,977659,804149,652476,457795,6887986
62,  黑河市,101575,229341,194092,196857,487604,492397,270930,329875,2302671
63,  绥化市,375931,387582,745894,621428,964595,1216576,1004904,365987,5682897
64,上海市,37090311,34689415,32064773,28195915,23813574,21703103,19806787,14641764,212005642
65,  南京市,18456004,14290194,11254900,10377148,9719642,8714292,7483481,5956796,86252457
66,  无锡市,10336226,9916634,12522200,11289089,9743675,8777753,6126662,4633706,73345945
67,  徐州市,5491309,4702244,4688800,3804668,3100707,2551217,2053222,1590593,27982760
68,  常州市,4467017,5080400,6815300,6813942,5970105,5675325,4099100,3062037,41983226
69,  苏州市,21632440,18649472,17644400,14140070,12633597,11991278,9358018,7243408,113292683
70,  南通市,5841356,6909400,6789200,5965201,4817428,3799617,2727825,2007915,38857942
71,  连云港市,2354133,2054236,1892800,1740695,1622296,1646532,1323575,1108117,13742384
72,  淮安市,3214134,2836904,3576600,3122219,2805511,2864889,2377664,1821460,22619381
73,  盐城市,3585666,3676848,3796400,3273124,2734118,2143718,1654728,1298549,22163151
74,  扬州市,4101757,3781753,3604400,3159065,2358426,1977079,1651593,1295292,21929365
75,  镇江市,4486433,3557794,3190500,2963063,2054834,1414747,1148781,954670,19770822
76,  泰州市,2499636,2455676,2855400,2711581,2344848,2282547,1497332,1238801,17885821
77,  宿迁市,3097565,3625259,3771400,3054647,2186424,1899292,1476265,1173582,20284434
78,  杭州市,26064090,24720743,23010823,18532841,15973611,13027234,9561970,7046752,137938064
79,  宁波市,12703341,12288427,13281390,11231401,8843514,7549448,5572683,3745119,75215323
80,  温州市,9020098,7662865,8088763,7343708,6875028,6805547,2704955,2533424,51034388
81,  嘉兴市,4783968,4584133,5257184,5108262,4158763,3833650,2703889,1871781,32301630
82,  湖州市,2742244,3233875,3427487,2676379,2111735,1846799,1431314,1113006,18582839
83,  绍兴市,6411932,6226472,6135118,5369907,4677089,4032384,2978018,2104629,37935549
84,  金华市,4088512,3502163,3676682,3849707,2851921,2035852,1636460,1326377,22967674
85,  衢州市,1242486,995114,951665,888211,757880,706611,637122,375893,6554982
86,  舟山市,1718863,1935938,2257982,1437890,1589428,1167872,589769,489896,11187638
87,  台州市,4242066,4386861,4960473,4535381,3573761,3191643,1960774,1522741,28373700
88,  丽水市,1676083,1582693,1576262,1188806,849937,546439,477296,413046,8310562
89,  合肥市,13525944,12591353,11273561,11058109,9138031,8802885,8190320,6703559,81283762
90,  芜湖市,4080965,4528413,4790128,4461183,3666748,3072334,2911649,2068717,29580137
91,  蚌埠市,3885755,4285989,4069641,3253221,1835403,1025638,738400,373955,19468002
92,  淮南市,1218810,1158611,1105001,1282077,1160742,1069541,783481,547050,8325313
93,  马鞍山市,2189306,2012824,2455835,2557476,2114935,1328328,850507,627592,14136803
94,  淮北市,920917,1478323,1524034,1340086,1092816,643631,425301,315140,7740248
95,  铜陵市,1173869,1222041,1327634,1254634,1168072,987527,732998,464708,8331483
96,  安庆市,1405467,1217211,1469427,1497996,1001697,986466,922207,653325,9153796
97,  黄山市,1112145,1012254,1367274,1424677,1440027,1277436,1257556,884393,9775762
98,  滁州市,3361508,3344286,3054657,2616911,2298138,1656797,1317688,663695,18313680
99,  阜阳市,3505381,2647769,2156656,1404760,879851,787983,500474,431191,12314065
100,  宿州市,2357812,2198068,1823318,1425022,1034651,687453,471433,363187,10360944
101,  六安市,2366269,1822913,1822747,1447547,1214808,863749,624081,434959,10597073
102,  池州市,825501,828224,1041175,1056746,922516,778813,664877,469671,6587523
103,  宣城市,1791561,1848472,2017719,1891081,1587522,5845334,821911,878472,16682072
104,  福州市,16794355,13811248,14550729,12647907,9722667,9564451,6706940,3617991,87416288
105,  厦门市,7657970,7440727,7040636,5318029,5188791,4381217,3961254,2945940,43934564
106,  莆田市,3533053,4159449,3468656,2833227,1985912,1528347,879135,633311,19021090
107,  三明市,1043666,1302150,1767649,1620235,1399828,1057275,948189,748058,9887050
108,  泉州市,7061435,6815890,7759511,5854460,3955003,2743607,2031121,1467187,37688214
109,  漳州市,4628479,5025111,4722441,3561031,2544853,2234841,1596212,993051,25306019
110,  南平市,1577926,1528150,1500248,1333124,858438,683070,671312,407742,8560010
111,  龙岩市,1801018,1933005,2120886,1651264,1205318,879265,808227,496510,10895493
112,  宁德市,1790411,2380343,2743272,2210450,1380439,987017,586180,325474,12403586
113,  南昌市,6745980,4853714,4140682,4061358,3443607,2798933,2301463,1982468,30328205
114,  景德镇市,428769,274370,369684,426646,520370,349023,257166,249760,2875788
115,  萍乡市,485147,454646,371730,243783,171599,165225,164655,199201,2255986
116,  九江市,1238501,1329104,1291834,752929,581186,608019,460642,490023,6752238
117,  新余市,200735,263328,286231,415211,247287,271139,244349,241359,2169639
